work_area,survey,site_id,latitude,longitude,preciseLat,preciseLon,depth,line_out_depth,pressure_transducer_depth,time,phaeo_20um,phaeo_3_20um,phaeo_2_20um,phaeo_gff_2um,phaeo_gff_3um,phaeo_bulk_gff,chla_20um,chla_2_20um,chla_3_20um,chla_gff_2um,chla_gff_3um,chla_bulk_gff
,,,degrees_north,degrees_east,degrees_north,degrees_east,m,m,m,UTC,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
CALVERT,FZH,KC10,51.6505000000001,-127.9516,NaN,NaN,6.409165,5.0,6.409165,2018-06-27T09:26:08Z,1.93145756720077,0.217393180277499,NaN,NaN,0.178266975460542,2.14547848284052,1.85259694502256,NaN,0.237101377178792,NaN,0.185247537371096,3.45977138067351
CALVERT,FZH,KC10,51.6505000000001,-127.9516,NaN,NaN,6.4711465,5.0,6.4711465,2018-10-23T10:33:23Z,0.249255897081088,0.307996670172819,NaN,NaN,0.500515828525608,0.958961563502913,0.468171120958511,NaN,0.525572005262778,NaN,0.827755311846898,1.9279010426653
CALVERT,FZH,KC10,51.6505000000001,-127.9516,NaN,NaN,5.0,5.0,NaN,2018-05-23T09:28:42Z,2.29803424653289,0.603354933040956,NaN,NaN,0.513188289915555,3.55785666968504,4.29710142284257,NaN,0.994270689168821,NaN,0.743591210104591,8.29996747563963
CALVERT,FZH,KC10,51.6505000000001,-127.9516,NaN,NaN,5.0,5.0,NaN,2018-07-15T08:54:25Z,2.58993559977375,0.185079764068495,NaN,NaN,0.168818767689377,3.6845313509617,1.10478127320198,NaN,0.191898336287372,NaN,0.195760911308378,4.96267608143591
CALVERT,FZH,KC10,51.6505000000001,-127.9516,NaN,NaN,10.9696069,10.0,10.9696069,2018-05-23T09:28:42Z,2.88795131329589,0.936457199036646,NaN,NaN,0.598862885703193,NaN,7.54295818542254,NaN,2.23025454908565,NaN,0.550828869332942,NaN
CALVERT,FZH,KC10,51.6505000000001,-127.9516,NaN,NaN,11.7416465,10.0,11.7416465,2018-10-23T10:33:23Z,0.345412708698523,0.17721126531612,NaN,NaN,0.393555870661829,0.981783508273329,0.589634431994577,NaN,0.341225226493418,NaN,0.550381599995859,1.68388084423676
CALVERT,FZH,KC10,51.6505000000001,-127.9516,NaN,NaN,11.9349971,10.0,11.9349971,2018-06-27T09:26:08Z,NaN,0.990050920037532,NaN,NaN,0.411309914659248,NaN,NaN,NaN,2.09738162909426,NaN,0.669965362009846,NaN
CALVERT,FZH,KC10,51.6505000000001,-127.9516,NaN,NaN,10.0,10.0,NaN,2018-11-21T13:59:28Z,0.0973766797342392,0.113820287631325,NaN,NaN,0.133168809757606,0.285521549892903,0.116943120036517,NaN,0.152200496743414,NaN,0.155105768366592,0.425161452707477
CALVERT,FZH,KC10,51.6505000000001,-127.9516,NaN,NaN,19.2172409,20.0,19.2172409,2018-07-15T08:54:25Z,0.502879276402854,0.271238149196593,NaN,NaN,0.388063118458775,1.68043669716873,0.659009242319168,NaN,0.218940885018104,NaN,0.162844489159667,1.86987024933257
CALVERT,FZH,KC10,51.6505000000001,-127.9516,NaN,NaN,19.6010477,20.0,19.6010477,2018-11-21T13:59:28Z,0.092973079296961,0.0796113500380668,NaN,NaN,0.10090770974079,0.228886624131876,0.0611051338962172,NaN,0.067991724612194,NaN,0.0508507351250341,0.196030064537773
