work_area,survey,site_id,latitude,longitude,preciseLat,preciseLon,depth,line_out_depth,pressure_transducer_depth,time,phaeo_20um,phaeo_3_20um,phaeo_2_20um,phaeo_gff_2um,phaeo_gff_3um,phaeo_bulk_gff,chla_20um,chla_2_20um,chla_3_20um,chla_gff_2um,chla_gff_3um,chla_bulk_gff
,,,degrees_north,degrees_east,degrees_north,degrees_east,m,m,m,UTC,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
CALVERT,FZH,FZH01,51.6394,-127.8958,NaN,NaN,275,275,NaN,2018-05-23T11:43:23Z,NaN,NaN,NaN,NaN,NaN,0.592374189,NaN,NaN,NaN,NaN,NaN,0.114486249
CALVERT,FZH,FZH01,51.6394,-127.8958,NaN,NaN,275,275,NaN,2018-11-21T14:59:42Z,NaN,NaN,NaN,NaN,NaN,0.077326008,NaN,NaN,NaN,NaN,NaN,0.019035806
CALVERT,FZH,KC10,51.6505,-127.9516,51.649768,-127.951565,0,0,NaN,2018-08-19T10:25:51Z,0.43435625,0.1808621,NaN,NaN,0.587263893,1.26336191,2.71852056,NaN,0.746494785,NaN,1.628037769,5.624774366
CALVERT,FZH,KC10,51.6505,-127.9516,51.649768,-127.951565,5.8377627,5,5.8377627,2018-08-19T10:25:51Z,0.477863029,0.409950566,NaN,NaN,0.499572417,1.43789755,1.808445637,NaN,1.335862891,NaN,1.15398712,5.822302302
CALVERT,FZH,KC10,51.6505,-127.9516,51.649768,-127.951565,11.2797687,10,11.2797687,2018-08-19T10:25:51Z,0.391903204,0.700958486,NaN,NaN,1.007446192,2.065899377,1.131878105,NaN,2.722639283,NaN,4.45904063,8.410319169
CALVERT,FZH,KC10,51.6505,-127.9516,51.649768,-127.951565,20.7280151,20,20.7280151,2018-08-19T10:25:51Z,0.174916336,0.22312559,NaN,NaN,0.244081524,0.574706861,0.184712624,NaN,0.176333816,NaN,0.17664877,0.507454487
CALVERT,FZH,KC10,51.6505,-127.9516,51.649768,-127.951565,30.6703394,30,30.6703394,2018-08-19T10:25:51Z,0.117697164,0.105897462,NaN,NaN,0.184326364,0.529173296,0.106598815,NaN,0.063487932,NaN,0.082007483,0.487640625
CALVERT,FZH,KC10,51.6505,-127.9516,NaN,NaN,0,0,NaN,2018-05-23T09:28:42Z,NaN,0.143495136,NaN,NaN,0.181451165,3.970406988,NaN,NaN,0.256282503,NaN,0.413984243,6.247803024
CALVERT,FZH,KC10,51.6505,-127.9516,NaN,NaN,0,0,NaN,2018-06-27T09:26:08Z,0.468690354,0.076587251,NaN,NaN,0.086709625,0.437532411,0.442735575,NaN,0.101730308,NaN,0.104249379,0.895182719
CALVERT,FZH,KC10,51.6505,-127.9516,NaN,NaN,0,0,NaN,2018-10-23T10:33:23Z,0.131932856,0.240025068,NaN,NaN,0.403250881,0.821606694,0.326723183,NaN,0.514747635,NaN,0.828511316,1.831574155
CALVERT,FZH,KC10,51.6505,-127.9516,NaN,NaN,0,0,NaN,2018-11-21T13:59:28Z,0.107239752,0.137298428,NaN,NaN,0.130452605,0.353013055,0.228807952,NaN,0.395813007,NaN,0.201643266,0.787537826
CALVERT,FZH,KC10,51.6505,-127.9516,NaN,NaN,3.8849069,5,3.8849069,2018-11-21T13:59:28Z,0.083256609,0.133590785,NaN,NaN,0.161301789,0.323503106,0.147115423,NaN,0.331644276,NaN,0.279031605,0.6962553
CALVERT,FZH,KC10,51.6505,-127.9516,NaN,NaN,6.409165,5,6.409165,2018-06-27T09:26:08Z,1.931457567,0.21739318,NaN,NaN,0.178266975,2.145478483,1.852596945,NaN,0.237101377,NaN,0.185247537,3.459771381
CALVERT,FZH,KC10,51.6505,-127.9516,NaN,NaN,6.4711465,5,6.4711465,2018-10-23T10:33:23Z,0.249255897,0.30799667,NaN,NaN,0.500515829,0.958961564,0.468171121,NaN,0.525572005,NaN,0.827755312,1.927901043
CALVERT,FZH,KC10,51.6505,-127.9516,NaN,NaN,5,5,NaN,2018-05-23T09:28:42Z,2.298034247,0.603354933,NaN,NaN,0.51318829,3.55785667,4.297101423,NaN,0.994270689,NaN,0.74359121,8.299967476
CALVERT,FZH,KC10,51.6505,-127.9516,NaN,NaN,10.9696069,10,10.9696069,2018-05-23T09:28:42Z,2.887951313,0.936457199,NaN,NaN,0.598862886,NaN,7.542958185,NaN,2.230254549,NaN,0.550828869,NaN
CALVERT,FZH,KC10,51.6505,-127.9516,NaN,NaN,11.7416465,10,11.7416465,2018-10-23T10:33:23Z,0.345412709,0.177211265,NaN,NaN,0.393555871,0.981783508,0.589634432,NaN,0.341225226,NaN,0.5503816,1.683880844
CALVERT,FZH,KC10,51.6505,-127.9516,NaN,NaN,11.9349971,10,11.9349971,2018-06-27T09:26:08Z,NaN,0.99005092,NaN,NaN,0.411309915,NaN,NaN,NaN,2.097381629,NaN,0.669965362,NaN
